"","post.id","post.link","post.data.id","post.date.raw","post.title","post.type","post.price","post.subcl","post.subcltype","post.loc","post.text","post.date","post.last.update","post.pics","cityurl","subcl"
"11","4615126338","http://poconos.craigslist.org/cas/4615126338.html","4615126338","Sep 6","Can I join you?","m4mw","45","cas","casual encounters","Bushkill","If you are a sexy couple and in search of a raging hard cock... lets talk. I'm a mellow guy, looking to explore sexually with a cool couple. 6'4"" 215, good looking, 100% STD free and sane. Please include stats and pic if you reply, I can host the right couple. Thanks for looking!","2014-08-12T07:29:50-0400","2014-09-06T14:01:33-0400",0,"http://poconos.craigslist.org","ppp"
"12","4615361065","http://poconos.craigslist.org/cas/4615361065.html","4615361065","Sep 7","cheap handy man","m4w","30","cas","casual encounters","albrightsville","hello i am a handy man that can fix small engines  
weed whackers,snow blowers leaf blowers ,riding mowers exh.i all so can do house work,yard and pool,i all so do car or trucks tune ups oil change brakes exh ,car audio,body kits and more,home audio and tv, i do more ANY JOB if you have feather questions  please leave phone number and i will get back to you a.s.a.p thanks   P.S I AM OPEN FOR ANY JOB","2014-08-12T10:53:52-0400","2014-09-07T08:31:21-0400",2,"http://poconos.craigslist.org","ppp"
"13","4615488537","http://poconos.craigslist.org/m4w/4615488537.html","4615488537","Sep 6","let me treat you like a princess ..once in a lifetime opportunity",NA,NA,"m4w","men seeking women","nepa","Professional self made businessman seeks attractive woman for relationship ..no games i am extremely busy ..i have many businesses and properties. I will treat you like no other guy can ..fine dining,  vacations, shopping ..email me with pic and tell me about yourself please ..","2014-08-12T12:00:15-0400","2014-09-06T12:30:32-0400",0,"http://poconos.craigslist.org","ppp"
"14","4615502081","http://poconos.craigslist.org/m4w/4615502081.html","4615502081","Sep 8","Looking for FUN",NA,"45","m4w","men seeking women","Hazleton area","Looking for no strings, no drama FUN in bed.  I'm a nice person with a high sex drive.  Looking for mature woman.  Send contact info. Text or email.  Thank you","2014-08-12T12:07:00-0400","2014-09-08T10:40:40-0400",0,"http://poconos.craigslist.org","ppp"
"15","4615736960","http://poconos.craigslist.org/cas/4615736960.html","4615736960","Sep 7","mm looking for mw sexting cam 2 cam fun","m4w","54","cas","casual encounters","nanticoke","looking for married woman for sexting or cam 2 cam fun must be 48+ body type race dont matter lets have some fun together put meyou in subject line to kill spam","2014-08-12T14:01:26-0400","2014-09-07T18:27:40-0400",0,"http://poconos.craigslist.org","ppp"
"16","4616780445","http://poconos.craigslist.org/cas/4616780445.html","4616780445","Sep 7","Virgin 4 virgin","m4m","53","cas","casual encounters","Poconos","Lookin for first timer also. Wanting to satisfy the curiousity!
Reply with pic's + stats dd free","2014-08-13T05:01:39-0400","2014-09-07T16:41:51-0400",0,"http://poconos.craigslist.org","ppp"
"17","4616801112","http://poconos.craigslist.org/cas/4616801112.html","4616801112","Sep 8","TODAY",NA,NA,"cas","casual encounters","west jersey / east pa.","Looking for fun early afternoon.....can travel / host / or meet in the area.  GL Mature Male Straight smooth HWP ......Whats your desires? Anyone available......???   If not where is a FUN place to visit......;)","2014-08-13T06:27:25-0400","2014-09-08T15:50:10-0400",0,"http://poconos.craigslist.org","ppp"
"18","4617042798","http://poconos.craigslist.org/cas/4617042798.html","4617042798","Sep 8","Cock worshipper seeking mwm","m4m","58","cas","casual encounters","below stroudsburg","f you arent receiving deepthroat to the balls cum and ball worshipping and need head once or twice a week NO RECIP - write me back ASAP
send a cock pic! and stats CLEAN DDF NO STDS NO DRUGS NO underage NO illegal - JUST WORSHIPPING COCKSUCKING
Write ASAP UNCUTS WORSHIPPING - Will travel","2014-08-13T10:42:30-0400","2014-09-08T11:49:25-0400",0,"http://poconos.craigslist.org","ppp"
"19","4617386645","http://poconos.craigslist.org/stp/4617386645.html","4617386645","Sep 8","Seeking My BFF","w4w","45","stp","strictly platonic","Stroudsburg","Looking for an outgoing friend to hang out with, WORK OUT with, go hiking with, camping with, laugh with, fish with, shop with, BS with, prank with, cook with and cry with. I have lived in PA since 2005 and have been unsuccessful when it comes to meeting true friends who are down to earth.  An individual with a heart, non-user, BS free, Bi-Polar free, drug free, psychotic free  and with a sense of humor.  
I would love the opportunity to meet new people and be introduced to new places, foods and ideas.  Send me a line if you are interested in meeting a really cool down to earth educated chick.
Life is lonely without a true friend.
Looking forward to meeting you friend!!!!!!!!!!!!!","2014-08-13T13:38:56-0400","2014-09-08T11:25:41-0400",0,"http://poconos.craigslist.org","ppp"
"20","4618141079","http://poconos.craigslist.org/cas/4618141079.html","4618141079","Sep 6","sucking DADDY dick","m4m","27","cas","casual encounters","Mt Pocono","Searching for that one discreet daddy dick that I can service and get serviced in return on a regular basis. Married, husky bear type daddies with average cut cocks are preferred. Be d&d free, hygienically clean, and discreet! Reply with stats, pics, and a way to reach you. Looking all of today and tonight and as long as my ad is up. Really aching to suck a rock hard daddy dick and unload my 5 days of cum here...
You must host! DADDY DICK in subject.","2014-08-13T21:09:19-0400","2014-09-06T13:09:50-0400",0,"http://poconos.craigslist.org","ppp"
"21","4618330260","http://poconos.craigslist.org/m4w/4618330260.html","4618330260","Sep 7","2nd wife wanted",NA,"35","m4w","men seeking women","poconos","Looking for a second or even third wife who loves sex as much as I do.
Let's talk some more...","2014-08-14T00:10:09-0400","2014-09-07T18:28:42-0400",2,"http://poconos.craigslist.org","ppp"
"22","4618530356","http://poconos.craigslist.org/cas/4618530356.html","4618530356","Sep 6","Mutual pleasure","m4m","44","cas","casual encounters","Marshals Creek","Down to earth top bi guy here, who would be interested in some fun with a hot bottom who is under 50 and height and weight proportionate. 6'3 220 long cock full of cum, able to do this at my place tonight.","2014-08-14T08:23:16-0400","2014-09-06T14:01:57-0400",0,"http://poconos.craigslist.org","ppp"
"23","4619661577","http://poconos.craigslist.org/cas/4619661577.html","4619661577","Sep 6","Always wanted a huge facial","m4m","44","cas","casual encounters","Bushkill","Looking for that guy who can give me a huge facial. I have always topped, but have always wanted to have a guy stand over top of me while I jerk and suck them rock hard until they explode all over me. So, if you have a big cock and want to help me, let me know.
I'm D/D free and attractive and am 8"" cut. 
I can host as well","2014-08-14T19:49:59-0400","2014-09-06T14:00:04-0400",0,"http://poconos.craigslist.org","ppp"
"24","4620156258","http://poconos.craigslist.org/stp/4620156258.html","4620156258","Sep 7","blaze with me","m4w",NA,"stp","strictly platonic","jim thorpe","Want to find a woman who just wants to smoke and relax and have a great time. Not looking for anything else and all else will be ignored. Please be somewhat local...","2014-08-15T08:40:49-0400","2014-09-07T09:54:40-0400",0,"http://poconos.craigslist.org","ppp"
"25","4620544014","http://poconos.craigslist.org/m4w/4620544014.html","4620544014","Sep 8","Lots of SEX needed",NA,"45","m4w","men seeking women","Pocono area","I'm looking for a mature woman to have bedroom fun.  No games. No drama. Just lots of fun.   Message me.  Let's text and see what happens. No strings","2014-08-15T12:44:12-0400","2014-09-08T10:41:29-0400",0,"http://poconos.craigslist.org","ppp"
"26","4621108302","http://poconos.craigslist.org/stp/4621108302.html","4621108302","Sep 8","new to Poconos looking for 420.","m4mw",NA,"stp","strictly platonic","poconos","Hi. 33 white male transplant from philly. I do not know anyone here. I'm looking for a new hook up in town. Please reach outshow contact info
 Thanks.","2014-08-15T17:52:43-0400","2014-09-08T11:49:35-0400",0,"http://poconos.craigslist.org","ppp"
"27","4622610799","http://poconos.craigslist.org/cas/4622610799.html","4622610799","Sep 7","Have a bi","m4mw","32","cas","casual encounters","Hazleton","Clean, normal, mostly straight guy with a bi-submissive fantasy that has been nagging at me for years. Only interested in clean, classy HWP as I am. I have pics for trade only after we voice verify that you are a M/F couple and you can voice verify that I'm a normal intelligent guy just looking to get wild for a night.
Im far away enough from the Poconos that we wont know each other but close enough that its easy for me to travel there.
Im five foot eleven inches tall and two hundred five pounds athletically built wish I was a little more toned but you wont be disappointed. Light humiliation is OK especially if the guy has a bigger cock than me. Only into oral with a guy, absolutely no anal play with a male.
I will show up and I will answer emails right away, will be checking messages frequently today.
    do NOT contact me with unsolicited services or offers","2014-08-16T17:23:33-0400","2014-09-07T17:31:08-0400",0,"http://poconos.craigslist.org","ppp"
"28","4622835509","http://poconos.craigslist.org/cas/4622835509.html","4622835509","Sep 8","Mount Airy Bi Fun",NA,"23","cas","casual encounters",NA,"Hot discrete bi couple 
Visiting 
Looking for a guy to watch or join
Or just the guy or girl can meet u
Very sexy and open minded
Send pics and what ur into
Put bi poconos in dibject","2014-08-16T20:19:13-0400","2014-09-08T12:02:57-0400",0,"http://poconos.craigslist.org","ppp"
"29","4623227499","http://poconos.craigslist.org/cas/4623227499.html","4623227499","Sep 7","suck this now!","m4m","27","cas","casual encounters","poconos","Want a discrete blow job today or tonight, I can host. Hurry, I want to cum hard! Must be under 30 in shape and I have to see a pic. Let make this happen right now!","2014-08-17T08:39:08-0400","2014-09-07T18:15:49-0400",0,"http://poconos.craigslist.org","ppp"
"30","4623239143","http://poconos.craigslist.org/cas/4623239143.html","4623239143","Sep 8","Old Crossdresser looking for crossdresser","t4t","59","cas","casual encounters","Mcadoo","I used to dress a lot a long time ago. Looking to get back into it. Love kissing and snuggling. 
You must host or know a place we can go. I am 6' 175 All shaven small clitty. photo enclosed.
Please be for real. Could make it a regular thing with the right Person.  Kisses to all.  Old photo I am on the right. All shaven no body hair.","2014-08-17T08:55:39-0400","2014-09-08T07:26:41-0400",0,"http://poconos.craigslist.org","ppp"
"31","4623245876","http://poconos.craigslist.org/cas/4623245876.html","4623245876","Sep 6","Dad for  Son 18+","m4m","36","cas","casual encounters","pike/monroe/wayne","36 masc Dad dude looking for Twink son or sons
 who want to be Discretely Pleasured by a clean, decent and sane hot DAD.
Totally discrete, I know the GF cant find out !!
 Completely clean and DDF, as well as respectful and humorous...
Can be Dom or sub and can top or bottom.
I know how you sons want to be treated RIGHT by a HOT DAD who gives
 you all the Sexual Comfort you have been wanting but have never received ..
Dad is 36, with Dk brn hair and eyes, muscular leggs and strong hands to comfort you and guide you in the right motion, masculine 8+ penis and large comforting balls, and a warm deep ass if you want to give your Daddy some deep hot power too....
Please put ""I Need Dad"" in the subject or be deleted and be real, as I am.
 Also include your true info and a pic if you can, as well as your contact # and i will email you 
or possibly txt you....
See you soon Son!","2014-08-17T09:04:29-0400","2014-09-06T07:40:22-0400",0,"http://poconos.craigslist.org","ppp"
"32","4623433701","http://poconos.craigslist.org/cas/4623433701.html","4623433701","Sep 8","I wanna lick your pu$$y till you cum","m4w","33","cas","casual encounters","Milford","Hello, i am looking to lick you till cum. No recp wanted. I have blonde hair  with blue eyes clean cut . Safe clean dd free. Any age weight or race is fine.","2014-08-17T11:45:42-0400","2014-09-08T12:05:57-0400",0,"http://poconos.craigslist.org","ppp"
"33","4623667107","http://poconos.craigslist.org/cas/4623667107.html","4623667107","Sep 8","Ladies","m4w","53","cas","casual encounters","Stroud","Ladies 50 + that are looking for fun during the day, very oral here.
Thin lady is a +","2014-08-17T14:11:07-0400","2014-09-08T04:22:42-0400",0,"http://poconos.craigslist.org","ppp"
"34","4625343947","http://poconos.craigslist.org/cas/4625343947.html","4625343947","Sep 8","woman wanted who fantasizes about group oral","m4w","58","cas","casual encounters",NA,"discreet clean only - send pic MWMS seeking a woman at a poker game to service all night","2014-08-18T14:56:30-0400","2014-09-08T15:54:03-0400",0,"http://poconos.craigslist.org","ppp"
"35","4626716901","http://poconos.craigslist.org/cas/4626716901.html","4626716901","Sep 7","Quality Massage","m4m","29","cas","casual encounters","in/out","Your location and either your phone number or email address must be in the first email. 3 types to choose from and all with ten years experience. Friendly and not rushed! Prof attitude. I'm bi white masculine and discreet. 5ft 8in one seventy three 8c thick.","2014-08-19T12:08:26-0400","2014-09-07T13:56:12-0400",0,"http://poconos.craigslist.org","ppp"
"36","4626956045","http://poconos.craigslist.org/cas/4626956045.html","4626956045","Sep 6","SERIOUSLY LOOKING FOR MATURE BBW SUB","m4w",NA,"cas","casual encounters","POCONOS","48 YEAR OLD, DECENT, CLEAN, WELL HUNG, DOMINANT MALE SEEKING A MATURE SUB FOR REGULAR MEETINGS. WILL REWARD.","2014-08-19T14:05:35-0400","2014-09-06T09:12:39-0400",0,"http://poconos.craigslist.org","ppp"
"37","4627371129","http://poconos.craigslist.org/cas/4627371129.html","4627371129","Sep 7","Play under the stars tonight!!","m4w","29","cas","casual encounters","wind gap area","Just like title says looking for a nit shy women who wants to come over and play late tonight under the stars at a nice relaxed safe location serious only don't waste my time and need a pic in your response hope I hear back it's worth it","2014-08-19T17:46:41-0400","2014-09-07T13:53:59-0400",0,"http://poconos.craigslist.org","ppp"
"38","4627478469","http://poconos.craigslist.org/cas/4627478469.html","4627478469","Sep 6",""" Panties "" wanted","m4w",NA,"cas","casual encounters","anywhere","Looking for freshly worn panties,  wet or stained a plus ,  simple , we meet at a safe place , you model them ,rubbing them into your pussy ,  you take them off ,give them to me and I give you a gift","2014-08-19T18:53:19-0400","2014-09-06T12:58:46-0400",0,"http://poconos.craigslist.org","ppp"
"39","4628324236","http://poconos.craigslist.org/cas/4628324236.html","4628324236","Sep 7","tight bottom seeks gay or bi top","m4m","40","cas","casual encounters",NA,"Hey guys, bi male here total bottom. Looking for a top, prefer a gay top with lots of stamina. I am 6' 165# with a nice smooth tight little hole that loves to get fucked. Disease free  and very clean! Into oral, anal and more. I can host or travel. I will not PnP so don't even ask!! I love to suck a nice cock before having you bend me over and mount my sweeet ass! Let me know, got a friend?, bring them too the more the merrier. Lets see if you can loosen up my tight little hole for me. Looking for tonight or this weekend some time. Horny as hell here and needing some cock bad!","2014-08-20T11:24:45-0400","2014-09-07T15:17:01-0400",2,"http://poconos.craigslist.org","ppp"
"40","4629198875","http://poconos.craigslist.org/cas/4629198875.html","4629198875","Sep 6","dad for son","m4m","45","cas","casual encounters","stroudsburg","gl dad looking for boytoy to please and hve fun. i can host or travel. be clean, young, slim. send pic or stats w txt number so we can hookup tonite. thx..","2014-08-20T19:23:05-0400","2014-09-06T18:55:51-0400",0,"http://poconos.craigslist.org","ppp"
"41","4629359775","http://poconos.craigslist.org/cas/4629359775.html","4629359775","Sep 7","nighttime outdoor suck session","m4m","26","cas","casual encounters","lehighton/jim thorpe","Anyone in the lehighton/jim thorpe area interested in receiving some oral under the stars...meseage me. Their is a bench you can sit or lay on while I'll suck you till cumpletion.","2014-08-20T21:26:19-0400","2014-09-07T23:16:18-0400",0,"http://poconos.craigslist.org","ppp"
"42","4629466518","http://poconos.craigslist.org/cas/4629466518.html","4629466518","Sep 7","Suck me outside tonight","m4m","29","cas","casual encounters","windgap area","Looking for somebody to come suck me outside of my home multiple times with no recip. i want someone who loves sucking dick and it shows how they like to suck it wet and slow. the only way you will talk to me is if you have a face pic in your reply bottom line.","2014-08-20T23:02:55-0400","2014-09-07T13:55:21-0400",0,"http://poconos.craigslist.org","ppp"
"43","4629926583","http://poconos.craigslist.org/cas/4629926583.html","4629926583","Sep 8","Looking for Glory Hole","m4w","32","cas","casual encounters","Eastburg","Looking to hook up today.... NSA Glory hole. Please let me know place & time... lets make this happen.. NO BS Pls........ Please reply with Glory Hole","2014-08-21T10:55:45-0400","2014-09-08T08:44:23-0400",0,"http://poconos.craigslist.org","ppp"
"44","4630821709","http://poconos.craigslist.org/cas/4630821709.html","4630821709","Sep 7","THIRD WHEEL","m4mw","32","cas","casual encounters","Bushkill","I am in search of a woman or couple for no strings attached kinky fun. I am located in Bushkill PA and can't host but willing to travel. I'm very respectful, mature and not pushy whatsoever. Age weight and race are not an issue but looking for something exclusive since I'm not into jumping from bed to bed. I'm 5'10"" 240lbs and 7in cut and very handsome. If you think we could be a good match please don't be afraid to drop me an email. Looking forward to meeting that special girl/couple! Thanks.","2014-08-21T19:24:55-0400","2014-09-07T08:11:26-0400",0,"http://poconos.craigslist.org","ppp"
"45","4630822536","http://poconos.craigslist.org/cas/4630822536.html","4630822536","Sep 7","3rd WHEEL","m4w","32","cas","casual encounters","Bushkill","I am in search of a woman or couple for no strings attached kinky fun. I am located in Bushkill PA and can't host but willing to travel. I'm very respectful, mature and not pushy whatsoever. Age weight and race are not an issue but looking for something exclusive since I'm not into jumping from bed to bed. I'm 5'10"" 240lbs and 7in cut and very handsome. If you think we could be a good match please don't be afraid to drop me an email. Looking forward to meeting that special girl/couple! Thanks.","2014-08-21T19:25:28-0400","2014-09-07T08:11:43-0400",0,"http://poconos.craigslist.org","ppp"
"46","4631266037","http://poconos.craigslist.org/cas/4631266037.html","4631266037","Sep 8","Ass Kissing Foot licking Toe Sucker","m4w","56","cas","casual encounters","Milford Hawley","Clean mature generous slim built white male clean shaven face seeking a woman who is in need of a discreet foot , leg , butt massage  or perhaps tender kisses anywhere she desire's ,,, daytimes  are best  ,,  Laugh as I crawl to your tired feet  ,,, could be a one time thing  or often if you chose ,, clean fun  I expect nothing in return   ,,,  Totally discreet  ,, Your privacy of the utmost importance  ,, If  you  wish  you can have  one of your  girlfriends watch and have a laugh ,, or  just tell me  to  drop the pants and beg for you to spank me ,, all safe clean  fun ,,
 Hawley  Greentown  Milford  Dingmans Shohola  Lords Valley Matamoras Hemlock  Bushkill Lake Wallenpaupack  Pike Greeley","2014-08-22T07:12:53-0400","2014-09-08T08:16:41-0400",0,"http://poconos.craigslist.org","ppp"
"47","4632738330","http://poconos.craigslist.org/m4m/4632738330.html","4632738330","Sep 6","SWM, 60, Seeks Similar Mature Man",NA,"60","m4m","men seeking men","Orange Co., NY","Hi, I'm a SWM, 60, 5'11, stocky build, cleancut, responsible, not very experienced, but hoping to meet a similar guy in his 60s or 70s+ interested in regular and discreet get togethers.  I hope you can host, I'm willing to come to you within an hour or so away.  I'm near the NY/NJ/PA borders.  Versatile but especially enjoy being submissive.  Meeting weekends and one or two weeknights a week would be possible for me.
Let's meet in public first and go from there.","2014-08-22T23:48:38-0400","2014-09-06T11:12:09-0400",0,"http://poconos.craigslist.org","ppp"
"48","4633233550","http://poconos.craigslist.org/stp/4633233550.html","4633233550","Sep 7","Cutie? like bands or dancing? its the weekend!!!","m4w",NA,"stp","strictly platonic","lehigh valley","so theres freestyle at maingate with great dance music
also theres cool band at sands..dilemma
deal...want one cutie average body to hangout...have fun
dance or band..they have dj in between both should be great time
me: 5'9 203 nice built white..buzzed hair and blue eyes
you: cute..fun nice smile..decent body
can bring gf's usually have friend or two with me
this is just to hangout theres no pressure for anything besides that!
know cl is 99.9% boulshit...if your that one that isnt please send pic and way
to get ahold of you fast!","2014-08-23T11:42:03-0400","2014-09-07T08:49:21-0400",0,"http://poconos.craigslist.org","ppp"
"49","4633507140","http://poconos.craigslist.org/cas/4633507140.html","4633507140","Sep 6","looking for a women","m4w",NA,"cas","casual encounters",NA,"looking for a women who want to be eaten out and sucks cock. text me 570 five five0 five 9 two nine","2014-08-23T14:05:38-0400","2014-09-06T09:27:16-0400",0,"http://poconos.craigslist.org","ppp"
"50","4633511121","http://poconos.craigslist.org/cas/4633511121.html","4633511121","Sep 6","looking for a blowjob","m4m",NA,"cas","casual encounters",NA,"iam looking for a younger for a blowjob. iam shaved . text me 570 five five0 five 9 two 9","2014-08-23T14:07:48-0400","2014-09-06T09:27:48-0400",0,"http://poconos.craigslist.org","ppp"
"51","4633828741","http://poconos.craigslist.org/cas/4633828741.html","4633828741","Sep 7","Sunday","m4m",NA,"cas","casual encounters","near stroudsburg","Looking for Sunday, 54 here, enjoy giving oral and open to suggestions, looking for hung, 8+, let's chat and see what we can do to relax, please include where your from, stats and what you enjoy,","2014-08-23T17:10:18-0400","2014-09-07T14:22:17-0400",0,"http://poconos.craigslist.org","ppp"
"52","4633946300","http://poconos.craigslist.org/cas/4633946300.html","4633946300","Sep 6","seeking a girl who wants to squirt while I lick her","m4w","48","cas","casual encounters","tobyhanna","nice , sexy, married , intelligent guy here, seeking a woman who
loves to be licked and squirt while cumming,  I will lick you until you cum
as many times as you can take it. Into girls who get REALLY wet
and cum a lot. I am clean and safe and polite.","2014-08-23T18:33:17-0400","2014-09-06T20:54:11-0400",0,"http://poconos.craigslist.org","ppp"
"53","4633985508","http://poconos.craigslist.org/cas/4633985508.html","4633985508","Sep 7","LOOKING FOR DISCREET MARRIED WOMAN COUGARS WELCOME!","m4w","33","cas","casual encounters","poconos/east stroudsburg","I'm looking for a discreet married woman in the Poconos or East Stroudsburg area that is looking for the same kind of relationship. I'm not looking to home wreck or make you leave your husband or partner, life is too short for both of us not to enjoy what we both enjoy or crave in the bedroom. 
I'm very openminded sexually and love pleasing a woman and cater to all fantasies no matter how kinky. I understand if you have a schedule to work around or kids etc. So lets do this long term not get caught and have a great new friendship. 
I am not judgmental, i love women of all colors, shapes, sizes, and ages. :) I do ask that you are clean I don't want to have any explaining to do.","2014-08-23T19:03:31-0400","2014-09-07T12:03:08-0400",0,"http://poconos.craigslist.org","ppp"
"54","4634227183","http://poconos.craigslist.org/cas/4634227183.html","4634227183","Sep 6","bi married wants to worship cock and balls","m4m","48","cas","casual encounters","tobyhanna","bi married guy here , 6' 220, need a nice cock to worship,
will lick your balls, and your ass if it's showered.
love to give a long sloppy blowjob. Also into
getting fucked safely, 420 is cool.
clean and safe here, into more , just ask","2014-08-23T22:57:53-0400","2014-09-06T20:54:30-0400",0,"http://poconos.craigslist.org","ppp"
"55","4634259605","http://poconos.craigslist.org/cas/4634259605.html","4634259605","Sep 6","Adult Fun for Young or Mature","m4w","40","cas","casual encounters","Burg","For Adults only, Size, Age or Race doesn't matter,  must be Discreet, CLEAN and DD Free. Your place or mine. Employed Professional with very good Hygiene, Discreet and DD Free with Papers. Like to give/ Receive Oral and  Intercourse. PIC. for PIC. Please put ""Adult"" in  the Subject Line to weed out Spam.","2014-08-23T23:39:50-0400","2014-09-06T21:54:43-0400",0,"http://poconos.craigslist.org","ppp"
